ticker,ticker_slug,p_latest,ic_full,ic_pvalue,gap_signed,gap_abs,ic_degenerate,te_3m,e_alpha_3m_log,test_acc,test_period_start,test_period_end,n_test_samples,status,refresh_decision,reliability_tag,warnings
UBER,UBER,0.43498060755329115,-0.4239145495882725,1.244075619475308e-12,0.552661832331093,0.552661832331093,False,,,0.29961089494163423,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
QCOM,QCOM,0.7316285970612386,0.15622101506650982,0.012154728873433536,0.18748673505482838,0.18748673505482838,False,,,0.6147859922178989,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
WELL,WELL,0.3742200821411914,0.43892238258981087,1.5820865899920517e-13,0.08198178280863111,0.08198178280863111,False,,,0.7509727626459144,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
ETN,ETN,0.7814210488500504,0.33284600941091297,4.588050219066621e-08,0.3520825963919349,0.3520825963919349,False,,,0.4785992217898833,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
APP,APP,0.39182645633434754,-0.023216931725635687,0.7110611449320092,0.3696567661819675,0.3696567661819675,False,,,0.47470817120622566,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
SYK,SYK,0.6043769611829003,-0.026960936793050398,0.6670589119753684,0.3545277679518925,0.3545277679518925,False,,,0.48638132295719844,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
COP,COP,,,,,,,,,,,,,skipped_permanent_ineligible,ineligible_cached,NA,permanent ineligible cache: validation 단일 클래스(1)
NEM,NEM,0.3068850375581513,0.3189806069586463,1.7333628978521066e-07,0.6877431906614786,0.6877431906614786,False,,,0.0622568093385214,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
ACN,ACN,0.33171229027194954,0.29799480816215723,1.145092445281992e-06,0.15064113901662535,0.15064113901662535,False,,,0.6186770428015564,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
PLD,PLD,0.643286020985174,0.2945979153470274,1.5333407906471596e-06,0.32605235231694374,0.32605235231694374,False,,,0.5603112840466926,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
BKNG,BKNG,0.2873571519160166,0.2596289196612497,2.598343649525257e-05,0.16782670454545456,0.16782670454545456,False,,,0.57421875,2025-01-02,2026-01-09,256.0,success,refresh_required,OK,
COF,COF,0.35139560937800546,-0.044467836621120256,0.4778593298384205,0.13827821011673158,0.13827821011673158,False,,,0.5992217898832685,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
CB,CB,0.19642655934167735,-0.04761164148040901,0.44726472049841615,0.3135833038556774,0.3135833038556774,False,,,0.4591439688715953,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
PH,PH,0.6033689524844993,-0.23169424712695683,0.00017870974105356455,0.2906526353024407,0.2906526353024407,False,,,0.5525291828793775,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
MDT,MDT,0.3339089973008196,0.3229458872500226,1.193272411552809e-07,0.09905818889281925,0.09905818889281925,False,,,0.6498054474708171,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
BMY,BMY,0.40850135188096665,0.06925843815039362,0.2686340493060345,0.1619694021931376,0.1619694021931376,False,,,0.5914396887159533,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
SPGI,SPGI,0.5762884723375609,0.028908582933671156,0.644599798464049,0.2809736469755926,0.2809736469755926,False,,,0.47470817120622566,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
VRTX,VRTX,0.5401784279372704,-0.2842785720749253,3.63873995900054e-06,0.4489122744959321,0.4489122744959321,False,,,0.41245136186770426,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
PANW,PANW,0.8184196646467417,0.2811227490724821,4.707510586315445e-06,0.5439511850017686,0.5439511850017686,False,,,0.3424124513618677,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
GLW,GLW,0.4706771669245322,0.18121097638222783,0.003556389541843593,0.153325079589671,0.153325079589671,False,,,0.5603112840466926,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
PGR,PGR,0.6590836249399071,-0.24481735250203596,7.305521224537038e-05,0.7088875132649451,0.7088875132649451,False,,,0.0933852140077821,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
HCA,HCA,0.46548786608850795,0.44792892045968685,4.366958745195903e-14,0.1469269543685886,0.1469269543685886,False,,,0.7587548638132295,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
MCK,MCK,0.6769719031237569,0.10820994706361414,0.08338607412314353,0.34013530244074985,0.34013530244074985,False,,,0.5291828793774319,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
MO,MO,0.7273986668796294,0.5077608926793955,3.0039567497754014e-18,0.13528475415634955,0.13528475415634955,False,,,0.669260700389105,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
CMCSA,CMCSA,0.412994924087414,-0.38534691430639756,1.5930693803739468e-10,0.31930049522461973,0.31930049522461973,False,,,0.48638132295719844,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
SBUX,SBUX,0.31507829727362674,0.10802826101710251,0.08390860163694139,0.3907189600282985,0.3907189600282985,False,,,0.4785992217898833,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
CME,CME,0.1871407386770409,0.44825482422405205,4.1652293979399214e-14,0.1790502299257163,0.1790502299257163,False,,,0.6186770428015564,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
BSX,BSX,0.5724513340099244,-0.468070621436974,2.1316784814551027e-15,0.6991775733993633,0.6991775733993633,False,,,0.11673151750972763,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
TT,TT,0.6707804670442696,-0.425718684960637,9.761276037008554e-13,0.29330120268836224,0.29330120268836224,False,,,0.4669260700389105,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
HWM,HWM,0.8160421510827298,0.45967206022079443,7.692590719423992e-15,-0.008100459851432595,0.008100459851432595,False,,,0.7626459143968871,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
SO,SO,0.40954606503811747,0.05012060560130305,0.42366409745825834,0.09037849310222845,0.09037849310222845,False,,,0.5914396887159533,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
INTU,INTU,0.7731262219781561,-0.30694125531626093,5.212645315299179e-07,0.3955341351255748,0.3955341351255748,False,,,0.311284046692607,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
ADBE,ADBE,0.5305903860835597,0.11907081372726447,0.05660707859255341,0.3083480721613017,0.3083480721613017,False,,,0.4280155642023346,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
CEG,CEG,0.8670754610767489,0.22429743349018183,0.00028949579694030793,0.37146775531032716,0.37146775531032716,False,,,0.5875486381322957,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
NOW,NOW,0.5344235584758945,-0.11889761107592071,0.05697016250875224,0.5892996108949415,0.5892996108949415,False,,,0.2607003891050584,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
